Año;CodLocalidadResidencia;NombreLocalidad;Barrio;CicloVital;ClasificaciónConducta;Sexo;Casos
2012;4;San Cristóbal;UPZ Sin Asignar;0 – 5 Primera Infancia;Ideación suicida;Hombre;1
2012;4;San Cristóbal;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;39
2012;4;San Cristóbal;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;20
2012;4;San Cristóbal;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;10
2012;4;San Cristóbal;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;11
2012;4;San Cristóbal;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;12
2012;4;San Cristóbal;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;19
2012;4;San Cristóbal;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;12
2012;4;San Cristóbal;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;5
2012;4;San Cristóbal;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;19
2012;4;San Cristóbal;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;14
2012;4;San Cristóbal;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;5
2012;4;San Cristóbal;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;4
2012;4;San Cristóbal;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;4
2012;4;San Cristóbal;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;6
2012;4;San Cristóbal;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;1
2012;4;San Cristóbal;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Hombre;1
2012;4;San Cristóbal;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Mujer;2
2012;4;San Cristóbal;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;1
2012;5;Usme;UPZ Sin Asignar;0 – 5 Primera Infancia;Ideación suicida;Hombre;1
2012;5;Usme;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;17
2012;5;Usme;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;44
2012;5;Usme;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;11
2012;5;Usme;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;23
2012;5;Usme;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;21
2012;5;Usme;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;9
2012;5;Usme;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;19
2012;5;Usme;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;3
2012;5;Usme;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;19
2012;5;Usme;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;14
2012;5;Usme;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;6
2012;5;Usme;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;6
2012;5;Usme;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;11
2012;5;Usme;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;6
2012;5;Usme;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;2
2012;5;Usme;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Mujer;1
2012;5;Usme;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Hombre;3
2012;5;Usme;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;1
2012;6;Tunjuelito;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;19
2012;6;Tunjuelito;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;11
2012;6;Tunjuelito;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;16
2012;6;Tunjuelito;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;5
2012;6;Tunjuelito;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;10
2012;6;Tunjuelito;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;1
2012;6;Tunjuelito;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;3
2012;6;Tunjuelito;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;4
2012;6;Tunjuelito;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;3
2012;6;Tunjuelito;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;3
2012;6;Tunjuelito;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;7
2012;6;Tunjuelito;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;2
2012;6;Tunjuelito;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;7
2012;6;Tunjuelito;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;7
2012;6;Tunjuelito;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;1
2012;6;Tunjuelito;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;3
2012;6;Tunjuelito;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Hombre;1
2012;7;Bosa;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;69
2012;7;Bosa;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;26
2012;7;Bosa;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;17
2012;7;Bosa;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;30
2012;7;Bosa;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;51
2012;7;Bosa;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;28
2012;7;Bosa;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;24
2012;7;Bosa;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;8
2012;7;Bosa;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;58
2012;7;Bosa;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;12
2012;7;Bosa;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;31
2012;7;Bosa;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;14
2012;7;Bosa;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;15
2012;7;Bosa;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;16
2012;7;Bosa;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;1
2012;7;Bosa;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Mujer;7
2012;7;Bosa;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Hombre;3
2012;7;Bosa;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;4
2012;7;Bosa;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Mujer;1
2012;8;Kennedy;UPZ Sin Asignar;0 – 5 Primera Infancia;Ideación suicida;Hombre;1
2012;8;Kennedy;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;20
2012;8;Kennedy;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;46
2012;8;Kennedy;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;17
2012;8;Kennedy;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;31
2012;8;Kennedy;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;21
2012;8;Kennedy;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;43
2012;8;Kennedy;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;13
2012;8;Kennedy;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;4
2012;8;Kennedy;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;29
2012;8;Kennedy;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;18
2012;8;Kennedy;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;22
2012;8;Kennedy;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;3
2012;8;Kennedy;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;3
2012;8;Kennedy;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;4
2012;8;Kennedy;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;8
2012;8;Kennedy;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Mujer;1
2012;8;Kennedy;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Mujer;2
2012;8;Kennedy;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;1
2012;8;Kennedy;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Hombre;1
2012;9;Fontibón;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;32
2012;9;Fontibón;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;9
2012;9;Fontibón;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;28
2012;9;Fontibón;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;24
2012;9;Fontibón;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;25
2012;9;Fontibón;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;15
2012;9;Fontibón;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;8
2012;9;Fontibón;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;5
2012;9;Fontibón;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;19
2012;9;Fontibón;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;47
2012;9;Fontibón;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;10
2012;9;Fontibón;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;8
2012;9;Fontibón;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;7
2012;9;Fontibón;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Mujer;2
2012;9;Fontibón;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;15
2012;9;Fontibón;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;2
2012;9;Fontibón;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;13
2012;9;Fontibón;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Hombre;3
2012;9;Fontibón;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Mujer;2
2012;10;Engativá;UPZ Sin Asignar;0 – 5 Primera Infancia;Ideación suicida;Hombre;1
2012;10;Engativá;UPZ Sin Asignar;0 – 5 Primera Infancia;Ideación suicida;Mujer;1
2012;10;Engativá;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;65
2012;10;Engativá;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;42
2012;10;Engativá;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;12
2012;10;Engativá;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;39
2012;10;Engativá;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;38
2012;10;Engativá;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;11
2012;10;Engativá;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;2
2012;10;Engativá;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;18
2012;10;Engativá;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;5
2012;10;Engativá;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;24
2012;10;Engativá;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;20
2012;10;Engativá;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;7
2012;10;Engativá;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;15
2012;10;Engativá;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;3
2012;10;Engativá;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;12
2012;10;Engativá;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Mujer;4
2012;10;Engativá;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;3
2012;10;Engativá;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Hombre;1
2012;10;Engativá;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Mujer;2
2012;11;Suba;UPZ Sin Asignar;0 – 5 Primera Infancia;Intento de Suicidio;Hombre;2
2012;11;Suba;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;49
2012;11;Suba;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;63
2012;11;Suba;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;17
2012;11;Suba;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;27
2012;11;Suba;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;41
2012;11;Suba;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;26
2012;11;Suba;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;15
2012;11;Suba;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;21
2012;11;Suba;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;22
2012;11;Suba;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;39
2012;11;Suba;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;11
2012;11;Suba;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;12
2012;11;Suba;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;3
2012;11;Suba;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;13
2012;11;Suba;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;9
2012;11;Suba;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Mujer;1
2012;11;Suba;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Hombre;2
2012;11;Suba;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;2
2012;11;Suba;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Mujer;3
2012;11;Suba;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Hombre;2
2012;12;Barrios Unidos;UPZ Sin Asignar;0 – 5 Primera Infancia;Intento de Suicidio;Hombre;1
2012;12;Barrios Unidos;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;1
2012;12;Barrios Unidos;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;9
2012;12;Barrios Unidos;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;8
2012;12;Barrios Unidos;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;21
2012;12;Barrios Unidos;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;1
2012;12;Barrios Unidos;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;5
2012;12;Barrios Unidos;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;16
2012;12;Barrios Unidos;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;10
2012;12;Barrios Unidos;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;1
2012;12;Barrios Unidos;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;2
2012;12;Barrios Unidos;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;2
2012;12;Barrios Unidos;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Mujer;1
2012;12;Barrios Unidos;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;1
2012;12;Barrios Unidos;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Hombre;1
2012;12;Barrios Unidos;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Hombre;4
2012;13;Teusaquillo;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;1
2012;13;Teusaquillo;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;12
2012;13;Teusaquillo;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;5
2012;13;Teusaquillo;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;1
2012;13;Teusaquillo;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;6
2012;13;Teusaquillo;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;12
2012;13;Teusaquillo;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;6
2012;13;Teusaquillo;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Mujer;6
2012;13;Teusaquillo;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Hombre;2
2012;14;Los Mártires;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;5
2012;14;Los Mártires;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;9
2012;14;Los Mártires;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;3
2012;14;Los Mártires;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;2
2012;14;Los Mártires;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;2
2012;14;Los Mártires;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;7
2012;14;Los Mártires;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;2
2012;14;Los Mártires;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;2
2012;14;Los Mártires;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;9
2012;14;Los Mártires;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;13
2012;14;Los Mártires;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;2
2012;14;Los Mártires;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;2
2012;14;Los Mártires;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;1
2012;14;Los Mártires;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;1
2012;14;Los Mártires;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Hombre;2
2012;15;Antonio Nariño;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;2
2012;15;Antonio Nariño;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;5
2012;15;Antonio Nariño;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;3
2012;15;Antonio Nariño;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;1
2012;15;Antonio Nariño;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;1
2012;15;Antonio Nariño;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;8
2012;15;Antonio Nariño;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;2
2012;15;Antonio Nariño;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;4
2012;15;Antonio Nariño;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;3
2012;15;Antonio Nariño;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;3
2012;15;Antonio Nariño;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;4
2012;15;Antonio Nariño;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;1
2012;15;Antonio Nariño;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;1
2012;15;Antonio Nariño;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Hombre;1
2012;15;Antonio Nariño;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;1
2012;16;Puente Aranda;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;11
2012;16;Puente Aranda;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;6
2012;16;Puente Aranda;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;5
2012;16;Puente Aranda;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;2
2012;16;Puente Aranda;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;13
2012;16;Puente Aranda;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;6
2012;16;Puente Aranda;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;1
2012;16;Puente Aranda;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;1
2012;16;Puente Aranda;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;13
2012;16;Puente Aranda;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;7
2012;16;Puente Aranda;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;3
2012;16;Puente Aranda;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;3
2012;16;Puente Aranda;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;3
2012;16;Puente Aranda;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;2
2012;16;Puente Aranda;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;1
